model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,1,2,8,4,0.001,188642.390625,382.73773193359375,434.3298177940354
GAT,1,2,8,4,0.01,10199157.0,2775.5927734375,3193.6119050379307
GAT,1,2,8,4,0.1,15573.5556640625,109.36526489257812,124.79405299958208
GAT,1,2,16,1,0.001,2106946.0,1256.451171875,1451.5322938191903
GAT,1,2,16,1,0.01,618221.3125,677.2684326171875,786.2705084765674
GAT,1,2,16,1,0.1,14.472095489501953,3.5199716091156006,3.804220746684129
GAT,1,2,16,2,0.001,827980.5625,785.3741455078125,909.9343726335433
GAT,1,2,16,2,0.01,56586864.0,6541.59326171875,7522.424077383566
GAT,1,2,16,2,0.1,23.02318572998047,4.576165199279785,4.798248193870391
GAT,1,2,16,4,0.001,1619031.0,1107.024658203125,1272.4114900455747
GAT,1,2,16,4,0.01,2270020.25,1309.95703125,1506.658637515479
GAT,1,2,16,4,0.1,6.970049858093262,2.430706739425659,2.6400851990216645
GAT,1,2,32,1,0.001,11439200.0,2941.984130859375,3382.1886405107566
GAT,1,2,32,1,0.01,10201084.0,2770.986328125,3193.9135868085095
GAT,1,2,32,1,0.1,20.953784942626953,4.344178676605225,4.577530441474633
GAT,1,2,32,2,0.001,67682616.0,7150.9130859375,8226.944511785649
GAT,1,2,32,2,0.01,2796.067138671875,44.5359992980957,52.87785111624597
GAT,1,2,32,2,0.1,20.232349395751953,4.260335445404053,4.498038394206073
GAT,1,2,32,4,0.001,1962611.375,1218.62158203125,1400.9323234903247
GAT,1,2,32,4,0.01,87834.0390625,258.36395263671875,296.3680803705082
GAT,1,2,32,4,0.1,40.03014373779297,6.160214900970459,6.3269379432544595
GAT,1,3,8,1,0.001,31474602.0,4877.158203125,5610.222990220621
GAT,1,3,8,1,0.01,61621.32421875,217.27749633789062,248.23642806556413
GAT,1,3,8,1,0.1,18.816551208496094,4.090801239013672,4.337804883635973
GAT,1,3,8,2,0.001,37231808.0,5304.31494140625,6101.787279150266
GAT,1,3,8,2,0.01,1055035.0,892.5100708007812,1027.148966800824
GAT,1,3,8,2,0.1,11.73514175415039,3.130322217941284,3.425659316708302
GAT,1,3,8,4,0.001,54979312.0,6448.6259765625,7414.803571235047
GAT,1,3,8,4,0.01,13426.65234375,101.23283386230469,115.8734324327626
GAT,1,3,8,4,0.1,2823527.25,1459.79638671875,1680.335457579825
GAT,1,3,16,1,0.001,12334.9599609375,95.45856475830078,111.06286490514054
GAT,1,3,16,1,0.01,1018148.6875,878.3034057617188,1009.0335413156492
GAT,1,3,16,1,0.1,4093759.5,1760.0960693359375,2023.304104676309
GAT,1,3,16,2,0.001,50604596.0,6184.68505859375,7113.690743910646
GAT,1,3,16,2,0.01,3583986.75,1646.8885498046875,1893.1420311218067
GAT,1,3,16,2,0.1,891.9345092773438,24.841541290283203,29.865272630219597
GAT,1,3,16,4,0.001,2643118.75,1415.9578857421875,1625.767126620538
GAT,1,3,16,4,0.01,2192180.25,1286.788330078125,1480.601313656043
GAT,1,3,16,4,0.1,3.7088701725006104,1.2755292654037476,1.9258427174877522
GAT,1,3,32,1,0.001,106748120.0,8982.7021484375,10331.898179908665
GAT,1,3,32,1,0.01,599075.8125,674.261962890625,773.9998788759596
GAT,1,3,32,1,0.1,2.8280351161956787,1.5381578207015991,1.681676281629636
GAT,1,3,32,2,0.001,2282478.25,1313.4786376953125,1510.7872947572732
GAT,1,3,32,2,0.01,2137531.25,1272.78564453125,1462.029838956784
GAT,1,3,32,2,0.1,51.47315216064453,7.027891635894775,7.174479225744857
GAT,1,3,32,4,0.001,2137710.0,1270.797119140625,1462.0909684421144
GAT,1,3,32,4,0.01,1855797.125,1183.7030029296875,1362.2764495505307
GAT,1,3,32,4,0.1,2.08510422706604,1.2562869787216187,1.4439889982496543
GAT,2,1,8,1,0.001,9314674671616.0,2648570.25,3051995.1952150906
GAT,2,1,8,1,0.01,535837120.0,20080.900390625,23148.155866072786
GAT,2,1,8,1,0.1,25.821022033691406,4.878376483917236,5.081438972741029
GAT,2,1,8,2,0.001,890711872.0,25898.703125,29844.796397362137
GAT,2,1,8,2,0.01,282193088.0,14571.802734375,16798.603751502684
GAT,2,1,8,2,0.1,17483108.0,3630.1708984375,4181.28066505945
GAT,2,1,8,4,0.001,293488.25,473.1991271972656,541.7455583574267
GAT,2,1,8,4,0.01,68991704.0,7197.5595703125,8306.124487388808
GAT,2,1,8,4,0.1,9717103.0,2706.39306640625,3117.2268124087473
GAT,2,1,16,1,0.001,357324718080.0,518745.28125,597766.4410787879
GAT,2,1,16,1,0.01,8141845.5,2477.494384765625,2853.391928915479
GAT,2,1,16,1,0.1,6603701.5,2229.60693359375,2569.7668182152247
GAT,2,1,16,2,0.001,40072237056.0,173710.765625,200180.5111792854
GAT,2,1,16,2,0.01,7049046.0,2307.243896484375,2655.003954799314
GAT,2,1,16,2,0.1,10992593.0,2878.12939453125,3315.5079550500254
GAT,2,1,16,4,0.001,264338448.0,14111.0908203125,16258.488490631593
GAT,2,1,16,4,0.01,9084085.0,2614.2783203125,3013.981585876065
GAT,2,1,16,4,0.1,39396336.0,5445.748046875,6276.650061935905
GAT,2,1,32,1,0.001,53554.42578125,198.989990234375,231.41829180350027
GAT,2,1,32,1,0.01,2038292.375,1240.98486328125,1427.6877722387342
GAT,2,1,32,1,0.1,14.124457359313965,3.4787914752960205,3.7582519020568546
GAT,2,1,32,2,0.001,172417392.0,11397.0859375,13130.780327154971
GAT,2,1,32,2,0.01,2699200.5,1426.21533203125,1642.9243744007208
GAT,2,1,32,2,0.1,9843389.0,2721.67724609375,3137.417568638258
